OBJECTID,NAME,POP2010,POP10_SQMI,POP2012,POP12_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FIPS_I,FIPSST,FIPSCO,STPO,COUNTYNAME,CNTYDISP,CNTYSHORT,CNTYSORT,CNTYCATEGO,CNTYACTIVE,INDEPCITY,CNTYSTAND,SEATLAT,SEATLONG,NAD83UTM,NAD83STATE,NAD27STATE,STATENAME,CNTYSTARTD,CNTYENDD,LASTCHGD,NOTE,BOTTOM,TOP_,LEFT_,RIGHT_,OBJECTID_1,GlobalID,Shape_Length,Shape_Area,LAT,LONG
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37039,37,039,NC,Cherokee,"Cherokee County, North Carolina","CHEROKEE, NC",NC-Cherokee,County,Y,N,Y,35.0875,-84.03472,32119,32119,32019,North Carolina,,,2003-02-24, ,34.98731,35.29218,-84.32187,-83.69003,,{B0B13EEF-EDAF-419E-BFCD-6B68D23B406F},1.89709693,0.119551844,35.13386332,-84.06356998
451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37035,37,035,NC,Catawba,"Catawba County, North Carolina","CATAWBA, NC",NC-Catawba,County,Y,N,Y,35.66972,-81.22167,32119,32119,32019,North Carolina,,,2003-02-24, ,35.54781,35.82917,-81.53436,-80.92397,,{FE44FE85-6058-457F-8100-E70FDCBB9DB9},1.552780497,0.106580138,35.66262145,-81.2144633
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37133,37,133,NC,Onslow,"Onslow County, North Carolina","ONSLOW, NC",NC-Onslow,County,Y,N,Y,34.75389,-77.43056,32119,32119,32019,North Carolina,,,2003-02-24, ,34.44055,34.98441,-77.68579,-77.09866,,{D64CD050-935C-4BD4-8332-A68434348C9F},7.236470798,0.195585761,34.73660638,-77.43344823
453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37065,37,065,NC,Edgecombe,"Edgecombe County, North Carolina","EDGECOMBE, NC",NC-Edgecombe,County,Y,N,Y,35.89667,-77.53611,32119,32119,32019,North Carolina,,,2003-02-24, ,35.67732,36.15453,-77.82848,-77.34246,,{2D23ADC6-2D9C-462F-85CE-A235B4B22660},1.775850652,0.131020802,35.91289851,-77.59705826
454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37157,37,157,NC,Rockingham,"Rockingham County, North Carolina","ROCKINGHAM, NC",NC-Rockingham,County,Y,N,Y,36.4,-79.77472,32119,32119,32019,North Carolina,,,2003-02-24, ,36.24143,36.54284,-80.03554,-79.51065,,{71319F72-E0FB-4572-AD2B-085D604CD749},1.607752346,0.149002564,36.39607404,-79.77514273
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37159,37,159,NC,Rowan,"Rowan County, North Carolina","ROWAN, NC",NC-Rowan,County,Y,N,Y,35.67083,-80.47444,32119,32119,32019,North Carolina,,,2003-02-24, ,35.50194,35.86343,-80.77155,-80.18268,,{205C0CE5-D17B-4DD5-B61C-37806610318F},1.759243535,0.134944394,35.63953038,-80.52451487
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37139,37,139,NC,Pasquotank,"Pasquotank County, North Carolina","PASQUOTANK, NC",NC-Pasquotank,County,Y,N,Y,36.29444,-76.25139,32119,32119,32019,North Carolina,,,2003-02-24, ,36.12356,36.51054,-76.49148,-76.05927,,{FB900E3F-914F-402C-AF52-FED4A686FDB2},1.944622214,0.058960149,36.29733878,-76.28651982
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37151,37,151,NC,Randolph,"Randolph County, North Carolina","RANDOLPH, NC",NC-Randolph,County,Y,N,Y,35.70778,-79.81389,32119,32119,32019,North Carolina,,,2003-02-24, ,35.50588,35.92064,-80.06674,-79.54183,,{EFB855C4-4937-45BD-B1AE-F55E803AA986},1.816951664,0.203617446,35.71025145,-79.8061679
458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37043,37,043,NC,Clay,"Clay County, North Carolina","CLAY, NC",NC-Clay,County,Y,N,Y,35.04611,-83.81806,32119,32119,32019,North Carolina,,,2003-02-24, ,34.98659,35.16113,-84.0058,-83.48328,,{A44FFAE1-D97C-4B99-8A37-B5BE561DD15F},1.417733465,0.056458512,35.05721096,-83.75021216
459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37055,37,055,NC,Dare,"Dare County, North Carolina","DARE, NC",NC-Dare,County,Y,N,Y,35.90806,-75.67611,32119,32119,32019,North Carolina,,,2003-02-24, ,35.18944,36.23155,-76.01403,-75.45998,,{B7ECEDF4-B7C4-4039-9093-E0ED921E398C},9.699765747,0.099801543,35.77112851,-75.79966283
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37047,37,047,NC,Columbus,"Columbus County, North Carolina","COLUMBUS, NC",NC-Columbus,County,Y,N,Y,34.33861,-78.70333,32119,32119,32019,North Carolina,,,2003-02-24, ,33.94424,34.48351,-79.07117,-78.16228,,{EF60EC36-BB4A-4BB0-A253-014DB0C7F4D8},2.927838511,0.241724769,34.26547559,-78.65507878
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37193,37,193,NC,Wilkes,"Wilkes County, North Carolina","WILKES, NC",NC-Wilkes,County,Y,N,Y,36.14583,-81.16083,32119,32119,32019,North Carolina,,,2003-02-24, ,35.99478,36.43771,-81.54545,-80.86888,,{A30FCFAF-CF69-4EA7-A7C2-6B15A2FE76CF},2.239089946,0.196459862,36.20619173,-81.16298938
462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37003,37,003,NC,Alexander,"Alexander County, North Carolina","ALEXANDER, NC",NC-Alexander,County,Y,N,Y,35.92167,-81.17667,32119,32119,32019,North Carolina,,,2003-02-24, ,35.77999,36.0457,-81.34378,-81.00359,,{97A85253-2BF1-413A-B0E5-F9E9DF4E0B4A},1.164006402,0.068177686,35.92100183,-81.17703841
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37015,37,015,NC,Bertie,"Bertie County, North Carolina","BERTIE, NC",NC-Bertie,County,Y,N,Y,35.99833,-76.94639,32119,32119,32019,North Carolina,,,2003-02-24, ,35.81285,36.24688,-77.32786,-76.68215,,{3A18577D-0190-41DA-B5D0-0401323E51D4},5.50228513,0.181453604,36.06795453,-76.98002763
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37167,37,167,NC,Stanly,"Stanly County, North Carolina","STANLY, NC",NC-Stanly,County,Y,N,Y,35.35,-80.20028,32119,32119,32019,North Carolina,,,2003-02-24, ,35.14308,35.50434,-80.50629,-80.05122,,{035E381B-1CE9-4E97-8263-71CAA697CD8E},1.644371157,0.103922748,35.31193291,-80.25096744
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37079,37,079,NC,Greene,"Greene County, North Carolina","GREENE, NC",NC-Greene,County,Y,N,Y,35.45139,-77.68139,32119,32119,32019,North Carolina,,,2003-02-24, ,35.3476,35.65226,-77.82761,-77.47444,,{87A6D85E-2656-4AA1-99DE-A25465DD8FAB},1.236662601,0.06852978,35.48538151,-77.67584313
466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37053,37,053,NC,Currituck,"Currituck County, North Carolina","CURRITUCK, NC",NC-Currituck,County,Y,N,Y,36.44972,-76.01583,32119,32119,32019,North Carolina,,,2003-02-24, ,36.07168,36.55076,-76.31321,-75.77324,,{4D4BF53B-34EA-4ED4-A958-139F020FAC29},8.214888036,0.068300016,36.40066554,-76.01350495
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37183,37,183,NC,Wake,"Wake County, North Carolina","WAKE, NC",NC-Wake,County,Y,N,Y,35.77194,-78.63889,32119,32119,32019,North Carolina,,,2003-02-24, ,35.51908,36.0763,-78.99562,-78.25491,,{BD5C11B8-BD83-4A23-ABEF-AC245D4EF70C},2.153754669,0.221369214,35.79004403,-78.65042339
